NO_MUNICIPIO_PROVA,NOTA_MEDIA,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,QTD_CANDIDATOS,Ano,municipio_norm
Colatina,523.5172808295166,490.75266666666624,512.0598500624753,569.3562786816863,491.4802878598243,555.0574494949495,4806,2015,COLATINA
Conceição da Barra,487.74335028248595,446.32644067796565,482.816271186441,541.481179138322,460.1003401360542,510.18518518518516,885,2015,CONCEICAO DA BARRA
Domingos Martins,524.029357610474,512.4145782145773,511.9474631751228,569.5073190789473,495.7891447368419,532.1548013245033,1222,2015,DOMINGOS MARTINS
Ecoporanga,493.21703412073515,464.9487179487177,486.2816568047335,548.5519762845852,468.4239130434781,499.7995991983968,508,2015,ECOPORANGA
Guarapari,513.280645862228,478.4949999999983,506.79075770191446,560.948463687151,485.58449287510496,536.8387188208617,3605,2015,GUARAPARI
Guaçuí,512.9934630503143,479.5377358490566,506.0567216981137,564.4089728453366,489.441912632821,527.3317307692307,848,2015,GUACUI
Itapemirim,491.9695039018954,450.80791527313244,484.0556298773689,544.7258100558656,469.596983240223,512.0888382687928,897,2015,ITAPEMIRIM
Iúna,513.7189684516397,487.57601246105867,503.22621419676204,563.0865420560752,483.36610591900376,532.1984924623116,1606,2015,IUNA
Jaguaré,493.654346846847,462.5618618618624,479.27372372372423,547.5090497737549,472.5194570135742,507.2340425531915,666,2015,JAGUARE
João Neiva,523.5759074410162,499.38584392014485,509.03321234119767,567.029219600725,496.2319419237755,547.490774907749,551,2015,JOAO NEIVA
Linhares,510.7017712326015,478.86866545528216,499.3652875882941,560.176952650749,483.5915401740538,533.0144003291504,4957,2015,LINHARES
Marataízes,507.01110867018167,474.724780316344,495.5975395430584,553.8460792951545,477.1480176211458,534.9661319073084,1138,2015,MARATAIZES
Mimoso do Sul,507.4474537037038,469.2033333333333,497.2338888888888,555.1655172413782,481.007786429366,535.3292273236282,900,2015,MIMOSO DO SUL
Montanha,497.39032016348773,458.48215258855623,488.0438692098096,549.8737997256515,467.137860082305,525.9002770083102,734,2015,MONTANHA
Nova Venécia,508.46457426679217,476.50658455708185,495.512979630507,556.6291607396868,479.6996206733054,534.9535218016291,2114,2015,NOVA VENECIA
Pedro Canário,482.4940615316516,444.1143426294819,474.6075797872337,539.1653794940075,458.4990666666666,498.17687074829934,753,2015,PEDRO CANARIO
Pinheiros,494.2575163893094,453.43509833585455,489.60060514372225,546.2221212121219,465.7981790591802,517.9754601226994,661,2015,PINHEIROS
Santa Maria de Jetibá,514.6868247248095,491.2435224386117,504.23827265029615,564.0130508474581,486.6806779661011,528.0308219178082,1181,2015,SANTA MARIA DE JETIBA
Santa Teresa,525.5616287600882,499.3556126192219,510.7632428466612,569.820704845815,497.27599118942794,551.1504424778761,1363,2015,SANTA TERESA
Serra,507.5008997615082,470.799891485207,506.40740472919293,559.3322634521843,480.31588350642664,522.2038047485621,13837,2015,SERRA
Sooretama,492.3423737373737,452.73636363636336,479.3666666666665,546.805376344086,464.04050179211487,521.7153284671533,561,2015,SOORETAMA
São Gabriel da Palha,503.6867606295512,469.33363957597106,495.5057203389827,556.7801840056618,476.42144373672994,522.1036195883605,1419,2015,SAO GABRIEL DA PALHA
São Mateus,502.0685622693458,468.31359624413136,494.6353415915921,552.4259823275056,476.36071831515665,520.1238786027868,5329,2015,SAO MATEUS
Venda Nova do Imigrante,531.8487710765237,506.15814406229725,515.2509727626453,576.5893437296944,502.05962288686703,560.7395287958116,1542,2015,VENDA NOVA DO IMIGRANTE
Viana,492.48783323603806,449.5858143607711,492.25977816695826,546.9870175438598,468.66467836257345,505.79573712255774,1713,2015,VIANA
Vila Velha,529.6478548365416,501.0900808080772,524.9364101528344,575.6529292519805,500.01928769345204,547.7022127248914,14866,2015,VILA VELHA
Vitória,543.5233821900835,519.3639245873832,534.9998435360827,585.7721677773402,511.8014178373115,566.9205975371779,15351,2015,VITORIA
Água Doce do Norte,485.2998170731711,447.8601466992665,478.6068459657702,543.3846341463412,459.89829268292664,497.76119402985074,410,2015,AGUA DOCE DO NORTE
Afonso Cláudio,512.900681481482,492.96440489432734,516.3131256952166,533.4983277591979,481.8157190635451,541.8181818181819,900,2016,AFONSO CLAUDIO
Alegre,520.2649004975127,505.943336886993,519.9205756929637,537.8333511491177,494.2781934794224,545.8907103825137,1876,2016,ALEGRE
Anchieta,517.6044077510912,496.3555191256822,520.1040961223375,539.9824368825464,487.09001097694886,546.9827008928571,1832,2016,ANCHIETA
Aracruz,522.4334669906846,510.4751292186075,524.9754562043789,543.5885948905109,491.2678527980525,543.1919379844961,3292,2016,ARACRUZ
Baixo Guandu,516.6897806478061,504.75768757687587,520.0451414514148,532.2322580645169,486.05297766749396,542.2132998745295,813,2016,BAIXO GUANDU
Barra de São Francisco,499.3695646606915,482.1670723894943,511.01600512163947,520.057877813504,466.91048231511206,518.2842174197773,1562,2016,BARRA DE SAO FRANCISCO
Brejetuba,497.8405753424661,478.2630136986303,502.73561643835586,519.4679452054794,468.2335164835165,521.6155988857938,365,2016,BREJETUBA
Cachoeiro de Itapemirim,523.6344559285598,501.0183548493902,525.5376344086026,541.6131242741019,487.9542724406842,564.3669538773441,6047,2016,CACHOEIRO DE ITAPEMIRIM
Cariacica,508.4517629004378,488.08561966017214,516.5132725527842,536.7182466968824,475.5092022764522,527.4501721593704,10426,2016,CARIACICA
Castelo,525.1261974977666,510.58820375335233,523.2650580875778,542.1608579088462,495.3635388739952,555.6197822141561,1119,2016,CASTELO
Colatina,529.7628111814338,509.5279746835428,530.6338818565406,546.6052398056189,494.6851045848313,569.1244635193133,4740,2016,COLATINA
Conceição da Barra,490.86644469957906,471.57195402298873,500.5098964326812,516.6973441108548,465.9882217090068,501.0887573964497,871,2016,CONCEICAO DA BARRA
Domingos Martins,529.8179664743067,527.6215169002476,530.6297609233307,544.0549586776854,497.48595041322267,551.429292929293,1213,2016,DOMINGOS MARTINS
Ecoporanga,495.6694661921714,480.05266903914605,505.8281138790038,514.8841637010678,469.3110320284699,511.47279549718576,562,2016,ECOPORANGA
Guarapari,518.7928161076264,502.0147854605087,523.976173580786,540.1728841413297,488.1202410298555,542.0601903695409,3667,2016,GUARAPARI
Guaçuí,514.2223233936813,494.19339723109726,518.1233226837064,534.1538461538464,489.7995726495723,536.7919389978214,939,2016,GUACUI
Itapemirim,497.60799470899485,476.1098831030821,505.1420828905415,522.6342553191488,469.76691489361673,516.3736263736264,945,2016,ITAPEMIRIM
Iúna,521.4239848581782,510.8698016634676,521.5912348048621,539.7902688860433,490.6024967989757,545.765625,1563,2016,IUNA
Jaguaré,500.78273716951804,484.83265940902015,504.37013996889664,521.4960937500002,477.8931250000002,517.3076923076923,643,2016,JAGUARE
João Neiva,522.8436677631576,509.25805921052665,524.86875,543.2069192751233,493.8978583196046,545.0337837837837,608,2016,JOAO NEIVA
Linhares,516.28407432132,501.53646429935117,519.0670482732305,537.462810707457,485.5226620768775,539.7921798631476,5243,2016,LINHARES
Marataízes,515.1775585045663,499.62183219178087,515.503681506849,535.8272103004288,480.0806008583684,546.425327510917,1168,2016,MARATAIZES
Mimoso do Sul,507.4916904761914,489.8383333333339,508.49500000000006,525.3745238095239,479.5576190476191,536.2746051032807,840,2016,MIMOSO DO SUL
Montanha,502.0526826632078,480.82892347600483,509.6870298313882,519.4919480519479,471.0536363636367,531.0254691689008,771,2016,MONTANHA
Nova Venécia,513.2350338000966,498.221004345727,519.7260260743601,530.9269510421703,482.4822987390883,536.3798525798526,2071,2016,NOVA VENECIA
Pedro Canário,490.44149243466285,468.6566712517196,500.5511691884453,513.750138121547,462.77500000000015,507.7574047954866,727,2016,PEDRO CANARIO
Pinheiros,495.12075364298715,467.3991803278692,504.664754098361,518.5104395604394,464.85920329670364,521.9777158774373,732,2016,PINHEIROS
Santa Maria de Jetibá,518.742189406544,502.6431307243957,524.5815986677771,537.1619999999996,488.6498333333333,541.9240506329114,1202,2016,SANTA MARIA DE JETIBA
Santa Teresa,528.4369531250003,510.3354655294946,525.6592750533051,545.2982930298714,498.32434163701146,563.8500360490267,1408,2016,SANTA TERESA
Serra,514.3384827851097,495.46933668833367,518.9996925656814,543.2777208976164,479.8447857493513,535.7885563254519,14319,2016,SERRA
Sooretama,490.31636150234755,458.64955908289187,500.1117957746475,514.9440140845065,459.2695422535212,521.3138686131387,568,2016,SOORETAMA
São Gabriel da Palha,510.65338368951063,495.6053058216648,515.4566691230657,529.6116296296296,476.9260192735358,536.9827586206897,1357,2016,SAO GABRIEL DA PALHA
